_c0,message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
25,292224,ถนน,12,กรุงเทพมหานคร,ถนนหน้าสนามฟุตบอลโปโลชำรุด ขลุขละเป็นหลุมบ่อ,2022-BF9TRG,"['100.55023', '13.73008']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/356710212ddd37b5bcc8faa09943d9dc72a67ac8.jpg,,18 ซอย สนามคลี แขวง ลุมพินี เขตปทุมวัน กรุงเทพมหานคร 10330 ประเทศไทย,ปทุมวัน,ลุมพินี,กรุงเทพมหานคร,2022-12-11 13:37:26.073357+00,{ถนน},report,,0,รอรับเรื่อง
2. ไม่มีการป้องกันการก่อสร้าง มีละอองสีปลิวจากพื้นที่ก่อสร้างมาโดนผู้แจ้งขณะเดินผ่าน,,,,,,,,,,,,,,,,,,,
150,291992,"ความสะอาด,ถนน",9,กรุงเทพมหานคร,อยากให้จัดระเบียบปากซอย 132,,,,,,,,,,,,,,
165,291971,"ถนน,ร้องเรียน",91,กรุงเทพมหานคร,งานดำเนินการสร้างรถไฟฟ้า ปิดถนนเกือบทั้งหมด บางจุดปิดไว้แต่ก้อยังไม่ได้ทำงานอะไร เมื่อคืนช่วง4ทุ่ม รตติดจากหน้าเมืองทองธานีมาถึงสะพานข้ามแยกหลักสี่เกือบ1ชั่วโมงครึ่ง ควรมีคนเข้าไปดูแลบ้าง ว่าจุดไหนจำเป็นต้องปิด ตรงไหนทำก้อปิดแค่นั้น นี่ปิดเกือบทั้งเส้น ไม่วางแผนการจราจรให้ประชาชน เดือดร้อนมากค่ะ,2022-KBR2AB,"['100.57056', '13.88946']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/ddfbfd5a0cc01c9a649cdb9a57742f73c5d804e4.jpg,,Cat ศูนย์บริการลูกค้า แขวง ทุ่งสองห้อง เขต หลักสี่ กรุงเทพมหานคร 10210 ประเทศไทย,หลักสี่,ทุ่งสองห้อง,กรุงเทพมหานคร,2022-12-11 02:51:33.260824+00,"{ถนน,ร้องเรียน}",inprogress,,0,รอรับเรื่อง
🚩นวมินทร์ 133 ตรวจพรีเมี่ยมเพลส,,,,,,,,,,,,,,,,,,,
"2. ถนนศรีอยุธยา ฝั่งขาเข้า ระหว่างโชว์รูมรถยนต์ฮอนด้า (ฮอนด้า ออโตโมบิล) – แยกพญาไท\"",2022-B6KMD8,"['100.53624', '13.75760']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/cd0cfc0bd189d4e124d3fde97d4112016f4d7fd1.jpg,,36/1 ถ. ศรีอยุธยา แขวง ถนนพญาไท เขตราชเทวี กรุงเทพมหานคร 10400 ประเทศไทย,ราชเทวี,ถนนพญาไท,กรุงเทพมหานคร,2022-12-10 10:30:25.836939+00,"{แสงสว่าง,ความปลอดภัย,สายไฟ,ถนน}",inprogress,,0,กำลังดำเนินการ,,,,,
411,291612,ถนน,12,กรุงเทพมหานคร,ถนนต่ำ น้ำทะเลหนุน,2022-6WTVN3,"['100.50685', '13.60587']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/f18f075fab3912a01dda702704f3ff7a517dd4d4.jpg,,54/2 ประชาอุทิศ แขวง ทุ่งครุ เขตทุ่งครุ กรุงเทพมหานคร 10140 ประเทศไทย,ทุ่งครุ,ทุ่งครุ,กรุงเทพมหานคร,2022-12-10 07:43:55.275274+00,{ถนน},inprogress,,0,กำลังดำเนินการ
412,291610,,18,กรุงเทพมหานคร,หลังจากแจ้งไปรอบแรกก็ดีขึ้นได้ไม่กี่สัปดาห์ ลูกค้าบิ๊กซีพระรามสองสูบบุหรี่ในที่ห้ามสูบ ทำให้กลิ่นลอยเข้ามาในที่พักอาศัย สร้างความเดือดร้อน อยากให้ทางบิ๊กซีจัดจุดสำหรับสูบบุหรี่ไปเลย จะชั้นใต้ดินหรืออะไรก็แล้วแต่ บริเวณหลังห้างสร้างความเดือดร้อนมาก,2022-7C9FAZ,"['100.44207', '13.66123']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/25d196d517397e2da1e61faf6d5b8feaef396caa.jpg,,45/552 ซอย ท่าข้าม 4 แขวง แสมดำ เขตบางขุนเทียน กรุงเทพมหานคร 10150 ประเทศไทย,บางขุนเทียน,แสมดำ,กรุงเทพมหานคร,2022-12-10 07:40:19.829332+00,{},inprogress,,0,กำลังดำเนินการ
446,291571,"แสงสว่าง,คลอง,ทางเท้า",14,กรุงเทพมหานคร,ไม่ใช่เสาไฟฟ้าที่เป็นเสาปูนนะครับ,,,,,,,,,,,,,,
"ผู้แสดงตนมีอิทธิพลแผงลอยบนถนนข้าวสาร แสดงความป่าเถื่อนต่อเทศกิจ ขณะปฎิบัติหน้าที่\"",2022-66MTW4,"['100.49781', '13.75864']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/4ccea01990107a4ddbe5e1dc6eef1f8823086ba7.jpg,,190 ถนนข้าวสาร แขวง ตลาดยอด เขตพระนคร กรุงเทพมหานคร 10200 ประเทศไทย,พระนคร,ตลาดยอด,กรุงเทพมหานคร,2022-12-10 05:21:11.61956+00,"{ถนน,เสียงรบกวน}",report,,0,รอรับเรื่อง,,,,,
