,message_id,type,type_id,org,comment,ticket_id,coords,photo,after_photo,address,district,subdistrict,province,timestamp,problem_type_abdul,status,star,count_reopen,state
0,289795,เสียงรบกวน,19,กรุงเทพมหานคร,เสียงดังยามวิกาล,2022-PDLKXU,"['100.60068', '13.70561']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/985286f52a4316e4d9a9f143820e51bac907ea88.jpg,,1710 อาคาร โลตัส สุขุมวิท 50 ชั้น 1 ถ. สุขุมวิท แขวง พระโขนง เขตคลองเตย กรุงเทพมหานคร 10110 ประเทศไทย,คลองเตย,พระโขนง,กรุงเทพมหานคร,2022-12-07 19:47:53.491729+00,{เสียงรบกวน},report,,0,รอรับเรื่อง
1,289794,แสงสว่าง,12,กรุงเทพมหานคร,ไฟไม่เปิดตรงกลางมืดมากครับ,2022-HLZYFN,"['100.70280', '13.71873']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/21dab7c47002de5e7de9f85aaf6c8df67959bd49.jpg,,26 ถนน สุขาภิบาล 2 แขวง ประเวศ เขต ประเวศ กรุงเทพมหานคร 10250 ประเทศไทย,ประเวศ,ประเวศ,กรุงเทพมหานคร,2022-12-07 18:49:08.691971+00,{แสงสว่าง},report,,0,รอรับเรื่อง
2,289793,ถนน,5,กรุงเทพมหานคร,ช่วงนี้ถนนในซอยสกปรกฝุ่นเยอะมาก รถวิ่งทีฝุ่นตลบ อยากรบกวนขอแรงพนักงานมากวาดถนนในซอย พหลโยธิน47 ได้มั๊ยคะ ไม่ได้มากันหลายเดือนแล้วค่ะ ดิฉันกวาดล้างหน้าบ้านตัวเองเกือบทุกวัน แต่ถ้าในซอยไม่ทำพร้อมกัน ก็สู้ฝุ่นไม่ได้ค่ะ,2022-MDEQ8W,"['100.58176', '13.85545']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/a7624bb322a548c086a0233eef047fc5f00560fd.jpg,,11 ซอย พหลโยธิน 47 แขวง ลาดยาว เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,ลาดยาว,กรุงเทพมหานคร,2022-12-07 18:30:14.784959+00,{ถนน},report,,0,รอรับเรื่อง
3,289792,ถนน,9,กรุงเทพมหานคร,ถนนเป็นหลุมเกินครึ่งเดือนแล้วค่ะ ไม่รู้เจาะเพื่อซ่อมอะไร แต่เก็บงานหน่อยก็ดี พอดีว่าเวลาขับรถผ่านแล้วคิดว่ามันลึกเกินไป,2022-HM2UEN,"['100.59395', '13.80352']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/6fadc901b4504c7ae7aeb66f2bde1eed5ebc12b4.jpg,,RH3V+8JR ซอย พัฒนสามัคคี แขวงลาดพร้าว เขตลาดพร้าว กรุงเทพมหานคร 10230 ประเทศไทย,ลาดพร้าว,ลาดพร้าว,กรุงเทพมหานคร,2022-12-07 18:15:43.865316+00,{ถนน},report,,0,รอรับเรื่อง
4,289791,"ท่อระบายน้ำ,น้ำท่วม",9,กรุงเทพมหานคร,ตอนนี้น้ำขังตลอดแม้ฝนไม่ตก และน้ำขังก็เพิ่มมากขึ้นไม่แน่ใจว่าเกิดจากอะไร เห็นมีน้ำล้นออกจากท่อระบายน้ำ น้ำกลิ่นเหม็นและเน่ามากบริเวณริมถนน,2022-CU34DF,"['100.42835', '13.71663']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/87cc6a9571607a356abf424278cdda64dbe55842.jpg,,15 ถนน พุทธมณฑลสาย 1 แขวง บางด้วน เขตภาษีเจริญ กรุงเทพมหานคร 10160 ประเทศไทย,ภาษีเจริญ,บางด้วน,กรุงเทพมหานคร,2022-12-07 18:12:32.963949+00,"{ท่อระบายน้ำ,น้ำท่วม}",report,,0,รอรับเรื่อง
5,289790,,91,กรุงเทพมหานคร,ได้แจ้งเรื่องเข้ามาเมื่อวันที่6เดือนกันยายน เรื่องมีมอเตอร์ไซไม่ทราบว่าเป็นของใครจอดทิ้งไว้4-5เดือนแล้ว ไม่ทราบรถถูกขโมยหรืออย่างไร ไม่มีเจ้าของ เจ้าหน้าที่เทศกิจเข้าตรวจสอบแล้วส่งเรื่องไปที่สำนักงานตำรวจแห่งชาติ ซึ่งตอนนี้รถยังจอดอยู่ที่เดิมไม่ขยับไปไหน รบกวนเข้ามาเครื่อนย้ายรถไปสน.หรือเข้ามาตรวจสอบด้วยค่ะ จะทำความสะอาดพื้นก็ไม่กล้าไปขยับ ขอบพระคุณค่ะ,2022-9Q99XH,"['100.55277', '13.74296']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/57d3d2769f433153fba3c16295676bc7aad2286a.jpg,,1/24 ถ. สุขุมวิท แขวง คลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ประเทศไทย,วัฒนา,คลองเตยเหนือ,กรุงเทพมหานคร,2022-12-07 17:32:02.671432+00,{},report,,0,รอรับเรื่อง
6,289789,"ความปลอดภัย,สัตว์จรจัด,ร้องเรียน",12,กรุงเทพมหานคร,"เรียนท่านผู้ว่าราชการกรุงเทพฯ
#ท่านชัชชาติ สิทธิพันธุ์
จุดนี้ได้ร้องเรียนไปหลายครั้งมากครับ
เรื่องสุนัขสร้างความอันตราย ไล่เห่าไล่กัด ประชาชนเดินเท้าทุกวัน 
แจ้ง ปชส.เขตลาดกระบังแล้ว รับเรื่องแล้ว ระยะเวลานานมาก แต่ก็ไม่ยอมมาแก้ไข 
ปชช.เดินไปมา มาซื้อของโดนเห่าโดนกัดไปหลายรายแล้วนะครับ 
ลงมาดูจุดอันตรายจุดนี้ด้วยครับ
เพื่อความปลอดภัย ปชช.",2022-EZYFCT,"['100.72140', '13.76910']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/5ffb31fe83663eda1bcf3227143b1384ddaf2ed6.jpg,,7/1 หมู่บ้านพาทิโอ ซ. เคหะร่มเกล้า 64 แขวง คลองสองต้นนุ่น เขตลาดกระบัง กรุงเทพมหานคร 10520 ประเทศไทย,ลาดกระบัง,คลองสองต้นนุ่น,กรุงเทพมหานคร,2022-12-07 17:30:11.777517+00,"{ความปลอดภัย,สัตว์จรจัด,ร้องเรียน}",report,,0,รอรับเรื่อง
7,289786,แสงสว่าง,12,กรุงเทพมหานคร,สรุปว่ามีการสัมปทานให้คอนโดthe elegant ใช้พื้นที่สาธารณะจอดรถใช่มั้ยเอ่ย ยังคงเห็นมีรถจอดอยู่บ่อยๆช่วงมืด มีกรวยของคอนโดกั้นอย่างดี,2022-42ACVD,"['100.56562', '13.81437']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/183853d27f64c1362472b456fdb4dca3460d92a8.jpg,,14/6 ซอย ลาดพร้าว 1 แยก 4 แขวง จอมพล เขตจตุจักร กรุงเทพมหานคร 10900 ประเทศไทย,จตุจักร,จอมพล,กรุงเทพมหานคร,2022-12-07 16:59:35.477464+00,{แสงสว่าง},report,,0,รอรับเรื่อง
8,289785,"ถนน,ความปลอดภัย,ทางเท้า",91,กรุงเทพมหานคร,ถนนกรุงเทพ-นนท์ แยกวงศ์สว่างฝั่งบิ๊กซี มุ่งหน้าไปนนทบุรี ที่เป็นทางเดินข้ามทางม้าลาย เป็นหลุม อันตรายต่อการสัญจร,2022-GHKVEW,"['100.52841', '13.82827']",https://storage.googleapis.com/traffy_public_bucket/attachment/2022-12/75472e370626a8fbac484858c639760637ceb14c.jpg,,RGHH+894 แขวง วงศ์สว่าง เขตบางซื่อ กรุงเทพมหานคร 10800 ประเทศไทย,บางซื่อ,วงศ์สว่าง,กรุงเทพมหานคร,2022-12-07 16:58:16.863698+00,"{ถนน,ความปลอดภัย,ทางเท้า}",report,,0,รอรับเรื่อง
9,,"ร้องเรียน,เสียงรบกวน",89,,,,"['100.64156', '13.85684']",https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo2.png,https://storage.googleapis.com/traffy_public_bucket/TeamChadChart/corruption_photo_after2.png,,,,,2022-12-07 16:42:29.835938+00,"{ร้องเรียน,เสียงรบกวน}",report,,0,รอรับเรื่อง
